Nombre,Cuenta,Categoría
,4-1-01-0001 - Venta de Licencias de Software,Ingresos > Ingreso por Ventas Netas de Bienes y Servicios
,4-1-01-0002 - Implementacion de Sistemas,Ingresos > Ingreso por Ventas Netas de Bienes y Servicios
,4-1-01-0003 - Soporte de Sistemas,Ingresos > Ingreso por Ventas Netas de Bienes y Servicios
,4-1-01-0006 - Desarrollo Software Factory,Ingresos > Ingreso por Ventas Netas de Bienes y Servicios
,4-1-01-0007 - Desarrollo a Medida de Sistemas,Ingresos > Ingreso por Ventas Netas de Bienes y Servicios
      4-1-02-0000 - Otros Ingresos,,
,4-1-02-0001 - Diferencia de Cambio,Ingresos > Otros Ingresos
      4-1-08-0000 - Ingresos Financieros,,
,4-1-08-0001 - Intereses Ganados por Financiación,Ingresos > Otros Ingresos
,4-1-08-0011 - Resultados Fondos de Inversión - Ganancias,Ingresos > Otros Ingresos
,4-1-08-0021 - Rtdo Diferencia de Cambio,Ingresos > Otros Ingresos
,4-1-08-0031 - Incentivos Fiscales Recibidos,Ingresos > Otros Ingresos
   4-2-00-0000 - Ingresos Extraordinarios,,
      4-2-01-0000 - Ingresos Extraordinarios,,
,4-2-01-0001 - Recupero,Ingresos > Ingresos Extraordinarios
5-0-00-0000 - Egresos,,
   5-1-01-0000 - Costo de los Bienes Vendidos y Servicios Prestados,,
,Compras,Pasivo Corriente > Deudas Comerciales
,5-1-01-0004 - Servicios medicos por Desarrollo de Software,Egresos > Costo de los Bienes Vendidos y servicios Prestados
,5-1-01-0006 - Servicios de terceros vinculados al costo,Egresos > Costo de los Bienes Vendidos y servicios Prestados
,5-1-01-0001 - Sueldos por Desarrollo de Software,Egresos > Costo de los Bienes Vendidos y servicios Prestados
,5-1-01-0002 - Cargas Soc. y Sind. por Desarrollo de Software,Egresos > Costo de los Bienes Vendidos y servicios Prestados
,5-1-01-0003 - Honorarios de Terceros por Desarrollo de Software,Egresos > Costo de los Bienes Vendidos y servicios Prestados
      5-3-00-0000 - Gastos Indirectos,,
   5-1-02-0000 - Licencia de Software,,
,5-1-02-0001 - Alquiler de Licencias de Software,Egresos > Gastos de Administración
   5-1-03-0000 - Licencia de Hardware,,
,5-1-03-0001 - Alquiler de Hardware y Equipos de Computación,Egresos > Gastos de Administración
   5-1-04-0000 - Gastos de Estructura,,
,5-1-04-0001 - Alquiler de Oficinas y Depositos Externo,Egresos > Gastos de Comercialización
,"5-1-04-0002 - Alojamiento, Movilidad y Viáticos (Comercial)",Egresos > Gastos de Comercialización
,5-1-04-0003 - Alquiler varios,Egresos > Gastos de Comercialización
,5-1-04-0004 - Impuestos y Servicios Públicos,Egresos > Gastos de Comercialización
,5-1-04-0005 - Sueldos Supervisión y de Estructura,Egresos > Gastos de Comercialización
,5-1-04-0006 - Cargas Soc. y Sind Supervisión y de Estructura,Egresos > Gastos de Comercialización
,5-1-04-0007 - Honorarios de Terceros Asesores Externos,Egresos > Gastos de Comercialización
,5-1-04-0008 - Honorarios Profesionales,Egresos > Gastos de Administración
,5-1-04-0009 - Comisiones Comerciales,Egresos > Gastos de Comercialización
,5-1-04-0010 - Atenciones Comerciales,Egresos > Gastos de Comercialización
,5-1-04-0011 - Telefonia e Internet,Egresos > Gastos de Comercialización
,5-1-04-0012 - Marketing y Eventos,Egresos > Gastos de Comercialización
,5-1-04-0013 - Capacitación Supervisión y de Estructura,Egresos > Gastos de Comercialización
,5-1-04-0014 - Insumos de Oficina,Egresos > Gastos de Comercialización
,5-1-04-0015 - Alquiler de Oficinas y Depositos interno (Celula Santa Fe),Egresos > Gastos de Comercialización
,5-1-04-0016 - Cobertura médica privada,Egresos > Gastos de Administración
,5-1-04-0017 - Gasto Educacion Fisica (beneficio),Egresos > Gastos de Administración
,5-1-04-0018 - Gasto Viáticos,Egresos > Gastos de Administración
,5-1-04-0019 - Gastos no identificados,Egresos > Gastos de Administración
,5-1-04-0020 - Gastos TC no documentados,Egresos > Gastos de Administración
,5-1-04-0021 - Seguros,Egresos > Gastos de Administración
   5-1-05-0000 - Otros Egresos,,
,5-1-05-0002 - Intereses por Financiac Bcaria,Egresos > Otros Egresos
,5-1-05-0003 - Costo Financiero Descuento de Cheques,Egresos > Otros Egresos
,5-1-05-0004 - Intereses Impositiva y Seg Social,Egresos > Otros Egresos
,5-1-05-0006 - Diferencia de Cotizacion de TC,Egresos > Otros Egresos
,5-1-05-0007 - Gastos y Comisiones Bancarias,Egresos > Otros Egresos
,5-1-05-0001 - Gastos Cheq Rechazados,Egresos > Otros Egresos
,5-1-05-0005 - Resultados por Tenencia,Egresos > Resultados Financieros y por Tenencia
   5-1-06-0000 - Gastos Impositivos,,
,5-1-06-0001 - Imp Deb y Cred Ley 25413,Egresos > Otros Egresos
,5-1-06-0002 - Bienes Personales Acc y Part,Egresos > Otros Egresos
,5-1-06-0003 - Impuesto sobre los Brutos Santa Fe,Egresos > Otros Egresos
,5-1-06-0004 - DREI,Egresos > Otros Egresos
,5-1-06-0005 - Impuesto a los Sellos,Egresos > Otros Egresos
,5-1-06-0006 - Gastos Bono Fiscal,Egresos > Gastos de Administración
,5-1-06-0007 - Gastos ARCA I SIFERE,Egresos > Otros Egresos
   5-1-07-0001 - Amortizaciones,,
,5-1-07-0001 - Amortizaciones del ejercicio,Ingresos > Otros Ingresos
   5-1-08-0000 - Impuesto a las Ganancias,,
,5-1-08-0001 - Impuesto a las Ganancias,Egresos > Impuesto a las Ganancias
   5-1-09-0000 - Gastos de financiación y cambiarios,,
,RECPAM,Egresos > Resultado por Exposición a la Inflación
,Ajuste por Redondeo Decimal,Ingresos > Otros Ingresos
,Intereses por Financiacion Bancaria y Financiera,Egresos > Resultados Financieros y por Tenencia
   5-1-10-0000 - Gastos de Administración,,
,Cargas Sociales,Egresos > Gastos de Administración
,Sueldos y Jornales,Egresos > Gastos de Administración
,Medicina Laboral,Egresos > Gastos de Administración
,5-1-10-0001 - Sueldos Staff,Egresos > Gastos de Administración
,5-1-10-0002 - Sueldo Negocio,Egresos > Gastos de Administración
,5-1-10-0003 - Sueldo BCR,Egresos > Gastos de Administración
,5-1-10-0004 - Sueldos Paraguay,Egresos > Gastos de Administración
,5-1-10-0005 - Sueldos Fabrica,Egresos > Gastos de Administración
,5-1-10-0006 - Cargas Sociales Staff,Egresos > Gastos de Administración
,5-1-10-0007 - Cargas Sociales Negocio,Egresos > Gastos de Administración
,5-1-10-0008 - Cargas Sociales BCR,Egresos > Gastos de Administración
,5-1-10-0009 - Cargas Sociales Paraguay,Egresos > Gastos de Administración
,5-1-10-0010 - Cargas Sociales Fabrica,Egresos > Gastos de Administración
   5-2-0-0000 - Gastos Extraordinarios,,
,Diferencia de Inventario,Egresos > Egresos Extraordinarios
   5-3-00-0000 - Gastos Indirectos,,
,5-3-01-0000 - Medicina Pre Paga,Egresos > Gastos de Administración
